time,open,high,low,close
1712029500,47490.75,47691.34190714359,47469.82768344879,47662.13350374698
1712030400,47497.7,47707.94923055172,47468.37782506943,47668.4267986536
1712031300,47689.25,47715.49323148727,47598.851906013486,47644.34581003785
1712032200,47584.8,47697.041172772646,47520.9317636013,47639.54725165367
1712033100,47577.9,47737.71584277749,47632.15415558815,47673.38411108851
1712034000,47586.55,47678.63785976172,47616.431405258176,47671.39152396917
1712034900,47593.5,47630.4062784493,47495.10879921913,47616.75393478274
1712035800,47568.0,47712.788568878175,47609.71925725937,47673.58182964921
1712036700,47619.55,47662.92171399594,47543.009910202025,47669.00837029218
1712037600,47618.2,47624.5590865016,47607.13717589378,47681.08197126984
